GeneNames	knockout	wt	log2fc	log2(Fold_change) normalized	z-score	p-value	q-value	q-value(Storey et al. 2003)	Signature(p-value < 0.001)
XOO4385	8	4	1	1.014235195	1.182332502	0.237073794	0.343487113	0.120651286	FALSE
XOO4429	8	4	1	1.014235195	1.182332502	0.237073794	0.343487113	0.120651286	FALSE
XOO2281	23	32	-0.476438044	-0.462202849	-1.17995885	0.238016582	0.344479594	0.121087359	FALSE
XOO4489	208	235	-0.176077228	-0.161842034	-1.179508178	0.238195882	0.344614685	0.121134844	FALSE
XOO2252	95	113	-0.250323354	-0.236088159	-1.17786158	0.238851794	0.345438976	0.121424589	FALSE
XOO2050	12	7	0.777607579	0.791842773	1.174958301	0.240011399	0.346990876	0.121970094	FALSE
XOO3056	29	39	-0.427421224	-0.413186029	-1.174428206	0.240223553	0.34710983	0.121989924	FALSE
YXOOp10	29	39	-0.427421224	-0.413186029	-1.174428206	0.240223553	0.34710983	0.121989924	FALSE
XOO3707	168	192	-0.192645078	-0.178409883	-1.171914131	0.241231533	0.348377959	0.122457666	FALSE
XOO2502	348	321	0.116514009	0.130749203	1.171639416	0.241341856	0.348411776	0.122465658	FALSE
XOO2872	1411	1363	0.049932426	0.06416762	1.171442176	0.241421088	0.348400698	0.122465658	FALSE
XOO3136	100	85	0.234465254	0.248700448	1.170442622	0.241822892	0.348854975	0.12262534	FALSE
XOO4950	67	82	-0.291462814	-0.27722762	-1.169839729	0.242065472	0.349079309	0.122666054	FALSE
XOO3644	87	73	0.253118937	0.267354132	1.169810407	0.242077275	0.3489708	0.122666054	FALSE
XOO3670	29	21	0.465663572	0.479898767	1.168472767	0.242616118	0.349621861	0.122894907	FALSE
XOO0578	119	139	-0.224123309	-0.209888115	-1.166673616	0.243342202	0.35054218	0.123218406	FALSE
XOO2192	115	99	0.216133431	0.230368625	1.166343085	0.24347576	0.350608592	0.123241751	FALSE
XOO3466	443	483	-0.12471649	-0.110481296	-1.164711312	0.244135868	0.351432925	0.123496658	FALSE
XOO1187	5	2	1.321928095	1.33616329	1.164589413	0.244185231	0.351377815	0.123496658	FALSE
YXOOp02	36	47	-0.38466385	-0.370428656	-1.164448603	0.244242261	0.351333772	0.123496658	FALSE
YXOOp12	17	11	0.628031223	0.642266417	1.164098074	0.244384269	0.351411957	0.12352414	FALSE
